1 2 3
1 5 1
1 6 1

2 1 3
2 3 3

3 2 2
3 4 2
3 9 3
3 16 2
3 7 1

4 3 2
4 7 1
4 17 2

5 1 1
5 8 1
5 10 2

6 1 1
6 9 3
6 8 1

7 3 1
7 4 1
7 17 1
7 16 1

8 5 1
8 6 1
8 11 1

9 6 2 
9 3 2
9 15 1
9 14 1
9 24 2

10 5 2
10 11 1
10 18 2
10 21 2

11 8 2
11 10 2
11 14 2

13 19 1

14 11 2
14 9 2
14 19 1

15 9 2
15 20 1

16 3 2
16 7 1 
16 17 2
16 20 1

17 4 2
17 7 1
17 16 2
17 27 2

18 10 1
18 19 1
18 23 1
18 22 1

19 14 1
19 13 1
19 18 2
19 24 2

20 15 1
20 16 2
20 25 2
20 24 1
20 26 2

21 10 2
21 36 3

22 18 1
22 31 2

23 18 2
23 28 1

24 9 3 
24 19 1
24 48 1
24 25 1
24 20 1

25 20 2
25 26 2
25 29 1
25 24 1

26 20 1
26 25 1
26 27 1
26 49 1

27 26 2
27 17 3
27 35 2

28 23 1
28 48 1 
28 50 1
28 31 1

29 48 1
29 25 2
29 33 1
29 50 2

30 26 1
30 49 1
30 33 2

31 22 3
31 28 1
31 37 2
31 32 1

32 31 1
32 50 1
32 38 2

33 29 1
33 30 3
33 34 2
33 39 3

34 33 2
34 49 2
34 40 2

35 49 1
35 27 2
35 43 2

36 21 2
36 37 2
36 44 2
36 41 1

37 36 2
37 31 1
37 45 2
37 41 1

38 32 1
38 39 1
38 46 2

39 38 1
39 50 2
39 33 2
39 42 1

40 34 1
40 43 1
40 42 1

41 36 1
41 44 1 
41 45 1
41 37 1

42 39 2
42 40 1
42 47 1
42 46 2

43 40 1
43 47 1
43 35 2

44 46 2
44 41 1
44 45 2

45 41 1
45 44 2
45 37 2
45 46 2

46 45 3
46 38 3
46 42 2
46 47 3

47 46 3
47 42 1 
47 43 1

48 24 2
48 28 2
48 29 1
48 19 1

49 35 1
49 34 1
49 30 2
49 26 1

50 28 1
50 32 1
50 39 3
50 29 1
